stimulus;colour;congruent;correctresponse;alt1;alt2;Accuracy;RT;Response;Sub_id;Sex
skyblue;skyblue;1;right;orange;skyblue;1;0.8605670999968424;right;oppru;Male
red;cyan;0;right;red;cyan;1;1.5957945999980439;right;oppru;Male
skyblue;green;0;left;green;skyblue;1;1.2521580000175163;left;oppru;Male
black;orange;0;right;black;orange;1;0.7301416000118479;right;oppru;Male
skyblue;skyblue;1;left;skyblue;black;1;0.7958916000206955;left;oppru;Male
black;skyblue;0;left;skyblue;black;1;0.7966648000001442;left;oppru;Male
brown;magenta;0;left;magenta;brown;1;1.3238101000024471;left;oppru;Male
green;skyblue;0;right;green;skyblue;1;1.9406964000081643;right;oppru;Male
white;white;1;right;skyblue;white;1;1.0032425000099465;right;oppru;Male
green;skyblue;0;left;skyblue;green;1;0.716190800012555;left;oppru;Male
orange;orange;1;left;orange;black;1;1.1240763000096194;left;oppru;Male
white;white;1;left;white;orange;1;0.8926332999835722;left;oppru;Male
skyblue;skyblue;1;right;brown;skyblue;1;0.8758834000036586;right;oppru;Male
orange;orange;1;left;orange;white;1;1.451489600003697;left;oppru;Male
red;red;1;right;yellow;red;1;0.8117744000046514;right;oppru;Male
skyblue;skyblue;1;left;skyblue;orange;1;0.8514366000017617;left;oppru;Male
white;black;0;right;white;black;1;0.8044486999860965;right;oppru;Male
brown;green;0;right;brown;green;1;0.7641570999985561;right;oppru;Male
skyblue;white;0;left;white;skyblue;0;0.7964136000082362;right;oppru;Male
brown;brown;1;right;green;brown;1;0.7724417000135873;right;oppru;Male
white;black;0;left;black;white;1;0.8995001000002958;left;oppru;Male
yellow;blue;0;right;yellow;blue;1;0.8521600000094622;right;oppru;Male
green;green;1;right;magenta;green;1;0.867552199983038;right;oppru;Male
white;white;1;left;white;skyblue;1;0.9088087000127416;left;oppru;Male
skyblue;skyblue;1;right;white;skyblue;1;0.7163482000178192;right;oppru;Male
green;green;1;left;green;brown;1;0.763878099998692;left;oppru;Male
magenta;magenta;1;right;brown;magenta;1;0.643833000009181;right;oppru;Male
